estacion,latitud,longitud,altitud,mes,ppt_media_mensual
MACUSANI,-14.07,-70.43908333333334,4345,5,11.9794431195607
MACUSANI,-14.07,-70.43908333333334,4345,6,6.632402312332578
MACUSANI,-14.07,-70.43908333333334,4345,7,5.378267132640448
MACUSANI,-14.07,-70.43908333333334,4345,8,8.747212078354494
MACUSANI,-14.07,-70.43908333333334,4345,9,20.792183595818845
MACUSANI,-14.07,-70.43908333333334,4345,10,44.62180447782076
MACUSANI,-14.07,-70.43908333333334,4345,11,60.30721442800802
MACUSANI,-14.07,-70.43908333333334,4345,12,102.80986350217273
MAÑAZO,-14.800555555555556,-70.06658333333333,3910,1,160.7750565306435
MAÑAZO,-14.800555555555556,-70.06658333333333,3910,2,142.02855196818604
MAÑAZO,-14.800555555555556,-70.06658333333333,3910,3,113.23142402146264
MAÑAZO,-14.800555555555556,-70.06658333333333,3910,4,47.98152086557471
MAÑAZO,-14.800555555555556,-70.06658333333333,3910,5,7.612562329522653
MAÑAZO,-14.800555555555556,-70.06658333333333,3910,6,4.703505141482491
MAÑAZO,-14.800555555555556,-70.06658333333333,3910,7,3.3753240719754407
MAÑAZO,-14.800555555555556,-70.06658333333333,3910,8,7.4555539739178895
MAÑAZO,-14.800555555555556,-70.06658333333333,3910,9,17.53719800405952
MAÑAZO,-14.800555555555556,-70.06658333333333,3910,10,33.833151061139155
MAÑAZO,-14.800555555555556,-70.06658333333333,3910,11,52.34187131597743
MAÑAZO,-14.800555555555556,-70.06658333333333,3910,12,105.3047855589306
PAMPA BLANCA,-17.071608333333334,-71.724525,108,1,1.0139873071738326
PAMPA BLANCA,-17.071608333333334,-71.724525,108,2,0.7043951825836056
PAMPA BLANCA,-17.071608333333334,-71.724525,108,3,0.24001414225343823
PAMPA BLANCA,-17.071608333333334,-71.724525,108,4,0.08718809718828772
PAMPA BLANCA,-17.071608333333334,-71.724525,108,5,0.2391511898946229
PAMPA BLANCA,-17.071608333333334,-71.724525,108,6,0.2557521339233373
PAMPA BLANCA,-17.071608333333334,-71.724525,108,7,0.4455499883065804
PAMPA BLANCA,-17.071608333333334,-71.724525,108,8,0.7880108356353333
PAMPA BLANCA,-17.071608333333334,-71.724525,108,9,0.6875560127492547
PAMPA BLANCA,-17.071608333333334,-71.724525,108,10,0.21192748555860155
PAMPA BLANCA,-17.071608333333334,-71.724525,108,11,0.18553670933422936
PAMPA BLANCA,-17.071608333333334,-71.724525,108,12,0.5366416793715254
PAUCARAY,-14.043783333333334,-73.63881388888889,3238,1,142.66774830296652
PAUCARAY,-14.043783333333334,-73.63881388888889,3238,2,152.24236881226352
PAUCARAY,-14.043783333333334,-73.63881388888889,3238,3,129.80207508045646
PAUCARAY,-14.043783333333334,-73.63881388888889,3238,4,49.04621254913154
PAUCARAY,-14.043783333333334,-73.63881388888889,3238,5,12.609627323280536
PAUCARAY,-14.043783333333334,-73.63881388888889,3238,6,11.283227186573265
PAUCARAY,-14.043783333333334,-73.63881388888889,3238,7,11.99487447498338
PAUCARAY,-14.043783333333334,-73.63881388888889,3238,8,15.753793458449579
PAUCARAY,-14.043783333333334,-73.63881388888889,3238,9,24.008092841624396
PAUCARAY,-14.043783333333334,-73.63881388888889,3238,10,39.90226229320154
PAUCARAY,-14.043783333333334,-73.63881388888889,3238,11,49.72739180961196
PAUCARAY,-14.043783333333334,-73.63881388888889,3238,12,97.37283159213882
PIZACOMA,-16.90434722222222,-69.36952777777778,3930,1,166.24922565045816
PIZACOMA,-16.90434722222222,-69.36952777777778,3930,2,141.81249415814503
PIZACOMA,-16.90434722222222,-69.36952777777778,3930,3,95.50109613272102
PIZACOMA,-16.90434722222222,-69.36952777777778,3930,4,31.40153963722895
PIZACOMA,-16.90434722222222,-69.36952777777778,3930,5,4.778077818146759
PIZACOMA,-16.90434722222222,-69.36952777777778,3930,6,4.9714303999305
PIZACOMA,-16.90434722222222,-69.36952777777778,3930,7,3.9485658368995415
